original,traducido
Aura of Fire Resistance,Aura de resistencia al fuego
Fire Warrior,Guerrero del fuego
Force of Nature,Fuerza de la naturaleza
Fortify Awareness,Fortalecer la conciencia
Fortify Will,Fortalecer la voluntad
Mark of Haste,Marca de prisa
Mark of Heroism,Marca de heroismo
Hammer of Light,Martillo de luz
Holy Judgement,Santo Juicio
Holy Lance,Lanza sagrada
Hysterical Blindness,Ceguera histerica
Curse of Ensnarement,Maldicion de la trampa
Instil Courage,Infundir coraje
Mark of Invisibility,Marca de invisibilidad
Greater Lay on Hands,Mayor imposicion de manos
Minor Lay on Hands,Imposicion de manos menor
Moderate Lay on Hands,Imposicion de manos moderada
Lesser Regeneration,Regeneracion menor
Mark of Illumination,Marca de iluminacion
Holy Light,Luz sagrada
Lightning Strike,Rayo
Magic Missile,Misil magico
Web of Roots,Red de raices
Sublime Projection,Proyeccion sublime
Pestilence,Pestilencia
Poisoned Globe,Globo envenenado
Purge Invisibility,Purgar la invisibilidad
Purge Magic,Magia de purga
Greater Regeneration,Mayor regeneracion
Corporeal Restoration,Restauracion Corporal
Mental Restoration,Restauracion mental
Serpent's Grace,La gracia de la serpiente
Arcane Shockwave,Onda de choque arcana
Steal Breath,Robar el aliento
Mark of Lethargy,Marca de letargo
Mass Lethargy,Letargo masivo
Stoneskin,Piel de piedra
Stunning Aura,Aura impresionante
Stunning Touch,Tacto impresionante
Summon Giant Insect,Invocar insecto gigante
Summon Magmite,Invocar Magmite
Summon Ooze,Invocar moco
Summon Vermin,Invocar alimaña
Swarm of Gnats,Enjambre de mosquitos
Thunderclap,Tronido
Touch of Condemnation,Toque de condenacion
Touch of Confusion,Un toque de confusion
Touch of Weakness,Toque de debilidad
#Triggered Abilities,#Habilidades activadas
Arcane Rush,Arcane Rush
"The first time you take Wound Hit point Damage each combat, you automatically regain 30-40 Attunement Points","La primera vez que recibes daño de puntos de golpe por herida en cada combate, recuperas automaticamente entre 30 y 40 puntos de sintonizacion."
Crippling Finesse,Finesse paralizante
"When scoring a Backstab hit using a Light Weapon, the targets gets a random injury Condition","Al asestar un golpe de puñalada por la espalda con un arma ligera, el objetivo recibe una condicion de lesion aleatoria."
Rending Blow,Golpe desgarrador
Critical Hits with an Axe causes Injury Conditions,Los golpes criticos con un hacha provocan lesiones.
Deep Cut,Corte profundo
Your Critical Hits using Blades cause Bleeding on your target,Tus golpes criticos con cuchillas provocan sangrado en tu objetivo.
Red Arcs,Arcos rojos
Scoring a Critical Hit with a Light Blade causes you to restore 1 Attack,"Si consigues un golpe critico con una espada ligera, recuperaras 1 ataque."
Rapid Reload,Recarga rapida
"If you score a Critical Hit with a Bow, you immediately regain 1 attack","Si logras un golpe critico con un arco, recuperas inmediatamente 1 ataque."
Kneecap,Rotula
Critical Hits with a Club causes The Injured Leg condition,Los golpes criticos con un palo provocan la condicion de pierna lesionada.
Weaving Blade,Hoja de tejido
Dodging a Melee Attack whilst armed causes you to deal a small amont of Slashing Damage to your attacker,Esquivar un ataque cuerpo a cuerpo mientras estas armado hace que inflijas una pequeña cantidad de daño cortante a tu atacante.
Felling Strike,Huelga de tala
Weakly Infections,Infecciones debiles
Your unarmed attack may cause disease in the target,Tu ataque desarmado puede causar enfermedades en el objetivo.
Decapitation,Decapitacion
The gruesomeness of your Axe-Kill causes the Fear condition in all opponents who can see it,Lo espantoso de tu Axe-Kill provoca el estado de Miedo en todos los oponentes que puedan verlo.
Cleave,Adherirse
Killing an opponent using a Heavy Melee Weapon restores 1 Attack,Matar a un oponente con un arma cuerpo a cuerpo pesada restaura 1 ataque.
Inspiring Kill,Matanza inspiradora
"When killing an Opponent in Armed or Unarmed Melee combat, all Allies who witness the kill get the Inspired Condition for 1 Turn","Al matar a un oponente en combate cuerpo a cuerpo armado o desarmado, todos los aliados que presencian la muerte obtienen la condicion inspirada durante 1 turno."
Replenishing Takedown,Reposicion de derribo
"Killing a Marked Target, heals the party a small amount",Matar a un objetivo marcado cura al grupo una pequeña cantidad.
Magnificent Takedown,Magnifico derribo
"When killing a Marked target, all Allies who witness the kill get the Inspired Condition for 1 Turn","Al matar a un objetivo marcado, todos los aliados que presencian la muerte obtienen la condicion inspirada durante 1 turno."
Bleeding Strike,Golpe sangrante
Greater Bleeding Strike,Gran Huelga de Sangrado
Lesser Bleeding Strike,Golpe de sangrado menor
Acid Burst,Explosion de acido
Sommon Abomination,Abominacion de Sommon
Lesser Poison Attack,Ataque de veneno menor
Moderate Poison Attack,Ataque de veneno moderado
Strong Poison Attack,Fuerte ataque de veneno
Stunning Strike,Golpe impresionante
Steal Life,Robar la vida
Shield Slam,Golpe de escudo
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker","Mientras empuñas un escudo, esquivar un ataque cuerpo a cuerpo hace que inflijas entre 1 y 4 puntos de daño contundente a tu atacante."
Smashing Charge,Carga aplastante
Your Charges cause 1-3 additional Blunt Damage,Tus cargas causan entre 1 y 3 de daño contundente adicional
Hidden Deployment,Despliegue oculto
You start combat Hidden,Comienzas el combate Oculto
Smoke Bomb,Bomba de humo
"The first time you're Wounded each combat, you automatically hide","La primera vez que te hieren en cada combate, te escondes automaticamente."
Not Today!,¡Hoy no!
"The first time you take Wound Hit point Damage each combat, you automatically regain 12-18 Vitality Hit Points","La primera vez que recibes daño de puntos de golpe de herida en cada combate, recuperas automaticamente entre 12 y 18 puntos de golpe de vitalidad."
